,Word,ConcRating,Mean Sharedness,Absolute Sharedness,Most Rel Words,Sem Feats
15119,hoof,4.89,4.384615384615385,"[5, 3, 7, 8, 3, 5, 4, 4, 3, 4, 5, 2, 4]","['hock', 'claw', 'hind', 'aids', 'jaws']","['animal_part_anatomy_located_rear', 'locomotion_form_locomotive_cheetahs_sprinting', 'covering_protective_covered_cover_covers', 'found_animals_mammals_horses_deer', 'bears_weight_standing_body_loads', 'tying_tie_shod_horseshoes_cleats', 'species_varies_size_depending_among', 'feet_protects_protection_keeps_warm', 'shock_absorbs_absorption_walking_shocks', 'leave_mark_marks_tracks_puncture', 'grows_continuously_rapidly_bush_childhood', 'keratin_made_species_animal_material', 'diseases_disease_affected_pneumonia_prone']"
33164,tuna,4.89,4.416666666666667,"[9, 11, 5, 6, 3, 4, 2, 4, 3, 3, 1, 2]","['fish', 'bass', 'pike', 'duck', 'carp']","['fish_attracts_game_popular_species', 'freshwater_lives_saltwater_lakes_ponds', 'fins_flippers_dorsal_flights_fin', 'blue_green_color_shade_dark', 'canned_meat_fresh_product_homemade', 'fishing_overfishing_activities_fisheries_site', 'gills_breathing_underwater_zygote_fathering', 'swims_swim_well_fast_swam', 'streamlined_body_aerodynamic_aerodynamics_designed', 'large_small_size_peas_quite', 'sushi_sashimi_idli_dishes_used', 'migrates_migratory_species_distances_migrate']"
27535,salt,4.89,4.5,"[6, 13, 6, 3, 2, 3, 2, 1]","['spam', 'onyx', 'alum', 'talc', 'well']","['mineral_minerals_composed_stores_essential', 'white_color_off_black_bluish', 'water_used_plumbing_accessing_purification', 'soluble_water_dissolve_dissolved_solution', 'sodium_chloride_composed_high_content', 'salty_taste_flavor_tastes_slightly', 'crystalline_structure_zona_pellucida_diffractive', 'seasoning_food_used_cast_adjust']"
12191,flea,4.89,4.5,"[3, 7, 4, 6, 4, 4, 6, 2]","['lice', 'tick', 'mite', 'bees', 'wasp']","['jump_distances_long_leap_great', 'insect_insects_creepy_presence_crawlies', 'parasitic_parasite_insects_parasites_species', 'legs_six_eight_pairs_five', 'blood_feeds_supply_feed_carries', 'diseases_transmit_transmits_tapeworms_lyme', 'itchy_itching_itch_causes_cause', 'size_small_large_typically_tiny']"
4907,chin,4.89,4.666666666666667,"[12, 5, 2, 2, 4, 3]","['nape', 'shin', 'jowl', 'monk', 'foot']","['skin_covered_covering_exposes_exposed', 'located_back_torso_neck_ankle', 'lips_lip_lower_supports_reads', 'hair_beard_shaves_facial_goatee', 'located_face_head_mouth_sides', 'face_part_eye_human_father']"
4384,cart,4.89,5.666666666666667,"[10, 5, 18, 6, 4, 3, 1, 3, 1]","['reel', 'bike', 'boat', 'dart', 'quad']","['transportation_used_transporting_goods_transport', 'wheels_four_drive_wheel_two', 'wood_metal_made_plastic_materials', 'wheels_wheel_rim_tiller_bearings', 'pull_pulling_pulled_force_tab', 'shopping_used_cashiers_retail_mini', 'drawn_drawing_strokes_drew_animal', 'manual_automatic_motorized_powered_automated', 'hold_holds_materials_items_together']"
5130,clam,4.89,6.090909090909091,"[21, 13, 5, 5, 4, 5, 6, 2, 2, 1, 3]","['kelp', 'crab', 'leek', 'okra', 'mash']","['edible_species_humans_inedible_though', 'soft_inside_bodied_feels_hard', 'soups_stews_used_chowders_soup', 'harvested_harvesting_alginate_oryza_palms', 'gemstone_gemstones_precious_pearls_produce', 'marine_habitat_life_chain_serves', 'sand_dunes_sandy_sanded_burrow', 'shell_mollusk_outer_shells_hinged', 'ocean_lives_floor_seafloor_temperatures', 'filters_water_filtering_food_straining', 'lifespan_years_several_30_short']"
2565,beer,4.88,4.166666666666667,"[3, 5, 3, 4, 8, 5, 5, 4, 3, 5, 4, 1]","['sake', 'soda', 'mead', 'cola', 'wine']","['stored_bottles_containers_tanks_cartridges', 'brewing_beer_breweries_brewed_whiskey', 'pubs_bars_pub_associated_nightclub', 'bitter_taste_slightly_tannins_contains', 'beverage_alcoholic_drink_mulled_japanese', 'alcohol_contains_content_spirits_volume', 'carbonated_still_sometimes_often_fatal', 'cans_bottles_comes_bottle_served', 'foam_foamy_poured_produces_lather', 'made_rice_barley_soybeans_corn', 'glasses_served_mugs_beer_standard', 'ale_lager_stout_varieties_styles']"
23730,pipe,4.88,4.333333333333333,"[8, 3, 5, 3, 5, 2]","['tube', 'rake', 'clip', 'cube', 'plug']","['plastic_metal_made_typically_clay', 'cylindrical_rectangular_filled_tube_zygote', 'hollow_solid_plant_species_body', 'transports_gases_liquids_fluids_substances', 'underground_pit_open_space_economy', 'smoking_cannabis_used_consuming_tobacco']"
18143,lake,4.88,5.444444444444445,"[14, 11, 6, 5, 2, 4, 4, 1, 2]","['pond', 'mere', 'loon', 'boat', 'gulf']","['recreation_recreational_used_activities_leisure', 'freshwater_lives_saltwater_lakes_ponds', 'aquatic_watercraft_animal_supports_life', 'water_body_oceans_bodies_freshwater', 'man_natural_made_naturally_manufactured', 'freeze_winter_frozen_icicles_frosted', 'beaches_beach_shoreline_shores_bed', 'environmental_subject_pollution_pressures_concerns', 'land_enclosed_partially_protects_surrounded']"
15112,hood,4.88,6.166666666666667,"[13, 7, 7, 3, 5, 2]","['robe', 'tent', 'sail', 'nape', 'plug']","['fabric_made_tulle_cloth_denim', 'opening_top_open_front_openings', 'weather_protects_rain_protection_wind', 'removed_detachable_removable_deleted_stripped', 'head_covers_wedge_supports_connects', 'lining_endometrium_lined_called_cotton']"
18223,lard,4.88,6.636363636363637,"[13, 14, 5, 2, 3, 3, 5, 4, 1, 2, 21]","['pork', 'oven', 'fire', 'oats', 'lime']","['white_color_off_black_bluish', 'cooking_used_frying_food_chefs', 'fat_low_content_body_marbled', 'pigs_comes_derived_butchery_pork', 'room_temperature_solid_solidifies_igneous', 'smoke_produces_extinguished_emits_point', 'baking_used_powder_bread_pastries', 'pork_beef_lamb_ham_rendered', 'saturated_fatty_acids_fats_rich', 'cleaning_used_soap_make_mouthwash', 'edible_species_humans_inedible_though']"
2482,bear,4.88,7.5,"[3, 5, 19, 14, 7, 6, 3, 3]","['bats', 'lynx', 'buck', 'deer', 'boar']","['hibernates_hibernate_winter_cold_hibernation', 'stands_standing_upright_stand_hind', 'mammal_mammals_small_mammalian_usually', 'fur_fluffy_hair_brown_looks', 'lives_forests_wooded_forest_areas', 'smell_sense_keen_senses_hearing', 'claws_thorns_two_possesses_perching', 'omnivorous_omnivore_diet_zygote_father']"
9532,dove,4.88,8.9,"[15, 14, 10, 11, 15, 3, 5, 7, 4, 5]","['crow', 'fowl', 'bird', 'swan', 'duck']","['lays_eggs_laying_water_lay', 'bird_part_small_fatale_fatales', 'nests_builds_nest_dome_build', 'feathers_feathery_black_white_vary', 'animal_dog_pet_creature_game', 'fly_cannot_flown_jump_flying', 'habitats_lives_various_variety_diverse', 'domesticated_wild_domestication_worker_humans', 'peace_goodwill_symbolizes_harmony_peacefulness', 'white_black_often_ivory_dots']"
14451,hare,4.88,9.5,"[6, 19, 14, 7, 18, 8, 2, 2]","['deer', 'mice', 'lynx', 'lamb', 'puss']","['prey_predators_preyed_toads_tongue', 'mammal_mammals_small_mammalian_usually', 'fur_fluffy_hair_brown_looks', 'ears_long_tufted_hearing_two', 'tail_short_long_tails_bushy', 'herbivorous_herbivore_herbivores_diet_insectivorous', 'legs_hind_short_long_spurs', 'lives_underground_burrows_caves_live']"
4208,cane,4.87,2.6,"[3, 3, 3, 2, 2]","['tail', 'hill', 'cuff', 'tarp', 'year']","['folded_foldable_storage_flat_fold', 'walking_used_hiking_running_mobility', 'balance_helps_coordination_improves_promotes', 'grip_gripping_rubber_tip_textured', 'age_used_groups_elderly_younger']"
28612,ship,4.87,2.9,"[6, 2, 3, 4, 2, 2, 3, 3, 2, 2]","['boat', 'port', 'semi', 'meld', 'isle']","['cargo_passengers_carries_terminals_carry', 'decks_cards_multiple_sequence_number', 'docking_dock_docked_boats_pier', 'boats_boat_lifeboats_marina_accessible', 'hull_planks_boats_reinforced_strong', 'sails_powered_propulsion_engines_propelled', 'maritime_subject_laws_port_conducts', 'crew_members_fans_team_per', 'navigation_gps_navigational_equipped_radar', 'navigation_maritime_affects_seas_sailing']"
18053,knot,4.87,3.75,"[6, 3, 4, 2]","['loop', 'sail', 'tack', 'glue', 'rope']","['used_sailing_nautical_boats_ships', 'fastening_materials_used_fasten_linear', 'loop_loops_coasters_end_roller', 'rope_string_ropes_tied_done']"
8333,desk,4.87,4.375,"[7, 5, 5, 5, 4, 4, 1, 4]","['deck', 'seat', 'room', 'sofa', 'lyre']","['writing_used_books_calligraphy_text', 'flat_surface_surfaces_top_bottom', 'wood_made_often_handle_plastic', 'furniture_piece_outdoor_part_chairs', 'drawers_furnished_storage_drawer_desks', 'educational_used_education_grading_purposes', 'found_stores_offices_often_hardware', 'adjustable_height_adjusted_width_louvers']"
11415,face,4.87,4.555555555555555,"[5, 9, 7, 6, 5, 3, 1, 3, 2]","['head', 'nose', 'back', 'oval', 'tush']","['mouth_mouthpiece_blowing_wide_mouthfeel', 'body_part_human_object_fault', 'ears_long_tufted_hearing_two', 'skin_brown_soft_smooth_fuzzy', 'identification_used_biometric_identify_forensic', 'nose_nostrils_two_cheeks_either', 'unique_individual_person_individuals_object', 'symmetrical_symmetric_asymmetrical_bilaterally_two', 'eyelashes_eyebrows_irises_lid_fake']"
3486,bowl,4.87,5.333333333333333,"[7, 5, 10, 8, 3, 7, 4, 2, 2]","['dish', 'vase', 'vial', 'sink', 'bath']","['opening_top_open_front_openings', 'food_serving_used_serve_hold', 'glass_made_plastic_metal_sheet', 'container_containers_secure_shipping_comes', 'liquids_holds_holding_liquid_bowl', 'ceramic_porcelain_made_ceramics_stainless', 'kitchens_found_bathrooms_restaurants_dining', 'food_holds_picks_chickens_pot', 'microwave_safe_microwaved_cooking_microwavable']"
15212,hose,4.87,6,"[9, 4, 5, 6, 6]","['cord', 'ball', 'soap', 'rope', 'bath']","['rubber_made_leather_plastic_synthetic', 'flexible_rigid_elasticated_functionality_material', 'coiled_storage_tightly_spooled_hair', 'washing_used_dishes_handwashing_hands', 'water_used_plumbing_accessing_purification']"
1292,anus,4.86,2.625,"[4, 5, 2, 2, 2, 2, 3, 1]","['anal', 'guts', 'stay', 'anew', 'neck']","['located_cavity_abdominal_rectum_chest', 'digestive_system_tract_intestines_stomach', 'feces_expels_animal_forcibly_semen', 'defecation_rectum_bowel_involved_movements', 'sphincter_muscles_sphincters_surrounded_urinary', 'hemorrhoids_site_issues_medical_like', 'persistent_continence_persistence_enduring_maintains', 'endings_nerve_nerves_contains_sensory']"
7082,crib,4.86,3,"[4, 6, 1, 3, 1, 4, 4, 1]","['bunk', 'ream', 'deck', 'cent', 'dice']","['used_sleeping_bedding_mattresses_soothe', 'sides_two_sided_side_six', 'bed_toddler_convertible_infants_baby', 'mattress_500_mattresses_contains_sheets', 'children_nursery_seen_often_placed', 'children_used_adults_play_infants', 'decorated_designs_ornate_carvings_beads', 'stationary_rocking_floating_rock_feature']"
8721,dirt,4.86,3.2,"[3, 3, 4, 3, 3]","['soil', 'ooze', 'stem', 'dune', 'land']","['ground_found_landed_humans_winds', 'organic_matter_contains_inorganic_composed', 'supports_plant_growth_vegetation_life', 'fertile_barren_infertile_environment_pregnant', 'microorganisms_microorganism_hosts_organisms_microbes']"
6043,cone,4.86,3.5,"[2, 5, 2, 5, 5, 5, 3, 4, 2, 2]","['cube', 'mass', 'lane', 'curl', 'pine']","['pointed_end_tapers_one_point', 'base_custard_broth_circular_stock', 'cream_ice_scoops_consume_used', 'shape_geometric_defined_object_shapes', 'hollow_solid_plant_species_body', 'traffic_congestion_used_flow_management', 'volume_varies_density_calculated_vary', 'geometry_mathematics_geometric_3d_used', 'cones_pine_produces_cone_trees', 'area_surface_raised_extent_side']"
27016,rice,4.86,4,"[7, 2, 2, 8, 4, 2, 3]","['bran', 'oats', 'spud', 'corn', 'dung']","['brown_color_brownish_reddish_green', 'carbohydrates_carbohydrate_source_rich_high', 'staple_food_cultures_many_cuisine', 'grains_grain_corn_grained_product', 'cereal_grain_grains_crop_outer', 'flour_ground_hamburger_refine_cornmeal', 'gluten_free_canbe_nature_contains']"
35924,wall,4.86,4.5,"[9, 6, 3, 5, 2, 2]","['door', 'data', 'fame', 'horn', 'well']","['privacy_provides_offers_laws_security', 'sound_produces_blown_sounds_captures', 'painted_varnished_finished_paint_fouling', 'may_mechanism_might_attached_locking', 'stone_made_stones_clay_pit', 'loads_load_heavy_bearing_supports']"
6615,cork,4.86,4.5,"[6, 9, 5, 3, 5, 3, 10, 4, 5, 1, 1, 2]","['silk', 'pier', 'lion', 'yarn', 'lure']","['lightweight_easy_handling_transport_designed', 'biodegradable_options_available_depending_lifecycle', 'elastic_elasticity_inelastic_cuff_pliability', 'seal_seals_sealing_bottles_cap', 'harvested_harvesting_alginate_oryza_palms', 'recyclable_disposal_special_depending_material', 'fishing_used_sport_fish_fishermen', 'brown_color_golden_coat_brownish', 'vibrations_vibration_shuddering_absorbs_detecting', 'bulletin_boards_used_notice_commonly', 'buoyancy_buoyant_flammability_bladders_loss', 'flooring_used_floors_roofs_covering']"
28600,shin,4.86,4.666666666666667,"[12, 4, 2, 5, 2, 3]","['nape', 'foot', 'chin', 'boob', 'hand']","['skin_covered_covering_exposes_exposed', 'protection_protected_guards_shin_protect', 'prone_injuries_sprains_injury_damage', 'located_back_torso_neck_ankle', 'bone_bones_boneless_mortis_rigor', 'leg_located_thigh_knee_end']"
18005,kiwi,4.86,4.7272727272727275,"[6, 6, 3, 6, 6, 7, 5, 3, 4, 4, 2]","['plum', 'lime', 'pear', 'kale', 'beet']","['green_color_inside_putting_occurs', 'fruit_fruits_maturity_vegetables_color', 'vitamin_rich_vitamins_source_potassium', 'shape_round_oval_rounded_shaped', 'skin_brown_soft_smooth_fuzzy', 'raw_eaten_cooked_fried_baked', 'salads_salad_dressings_used_smoothies', 'meat_tender_juicy_flesh_fleshy', 'seeds_contains_seed_tiny_black', 'fibrous_texture_core_root_tissue', 'chinese_china_native_chow_mein']"
33137,tuba,4.86,4.888888888888889,"[9, 5, 5, 10, 4, 4, 3, 3, 1]","['oboe', 'harp', 'lung', 'dive', 'yogi']","['music_used_genres_jazz_songs', 'mouth_mouthpiece_blowing_wide_mouthfeel', 'stands_standing_upright_stand_hind', 'breath_breathing_control_requires_holding', 'orchestras_used_music_orchestral_ensembles', 'pitched_high_low_sound_produces', 'valves_backflow_valve_tap_prevent', 'brass_made_steel_stainless_bronze', 'bell_bells_large_flared_end']"
15437,husk,4.86,5,"[9, 5, 3, 8, 4, 4, 4, 3]","['moat', 'moss', 'junk', 'wood', 'bran']","['biodegradable_options_available_depending_lifecycle', 'gardening_used_mulch_planting_gardens', 'seeds_seed_disperse_pollen_dispersal', 'grains_grain_corn_grained_product', 'fuel_electricity_gasoline_fossil_biomass', 'fibrous_texture_core_root_tissue', 'dry_drying_moist_wet_dried', 'discarded_disposed_often_use_material']"
14704,heel,4.86,5,"[3, 9, 8, 6, 2, 2]","['boot', 'sock', 'shoe', 'clog', 'pair']","['bears_weight_standing_body_loads', 'footwear_shoe_shoes_type_worn', 'foot_covers_feet_ankle_bottom', 'heel_heels_ankle_shoe_height', 'located_bottom_foot_back_cockpit', 'blisters_calluses_blister_prevents_prone']"
32505,tofu,4.86,5.3,"[13, 4, 4, 6, 6, 5, 3, 6, 5, 1]","['idly', 'curd', 'sear', 'veal', 'sake']","['white_color_off_black_bluish', 'used_meat_vegan_vegetarian_food', 'flavor_enhances_flavors_enhance_absorbs', 'texture_soft_rough_chewy_crunchy', 'cuisines_used_dishes_cuisine_various', 'originates_originated_japan_asia_hawaii', 'calories_low_high_calorie_deficit', 'protein_high_rich_fat_higher', 'made_rice_barley_soybeans_corn', 'food_product_item_apply_items']"
21117,nest,4.86,5.571428571428571,"[8, 12, 3, 7, 6, 2, 1]","['coop', 'lair', 'dock', 'mast', 'wing']","['trees_tree_uproot_found_leaf', 'birds_bird_crows_crow_chickens', 'found_environments_outdoors_caves_nature', 'structure_structural_network_unit_basic', 'reusable_reused_disposable_rebuilt_annually', 'eggs_laying_preening_feathers_egg', 'breeding_raising_used_chicks_offspring']"
8548,dice,4.86,5.636363636363637,"[9, 18, 2, 3, 6, 8, 4, 4, 1, 4, 3]","['odds', 'maul', 'boxy', 'dart', 'hint']","['games_used_video_game_darts', 'wood_metal_made_plastic_materials', 'cube_shaped_resembles_recess_rectangle', 'rounded_edges_corners_straight_edge', 'sides_two_sided_side_six', 'plastic_metal_made_typically_clay', 'small_size_sized_island_medium', 'rolls_rolled_comes_steel_cut', 'dots_die_side_six_standard', 'probability_chance_probabilities_associated_randomly', 'betting_gambling_used_bets_bet']"
36716,wool,4.86,5.666666666666667,"[2, 13, 11, 9, 3, 3, 6, 3, 1]","['silk', 'lace', 'mesh', 'pita', 'lacy']","['moisture_absorbs_hygroscopic_rainfall_reduces', 'soft_inside_bodied_feels_hard', 'clothing_used_making_garment_garments', 'biodegradable_options_available_depending_lifecycle', 'dyed_colors_various_different_dyes', 'insulating_insulates_properties_outer_layer', 'comes_animals_cattle_sheep_young', 'woven_knitted_yarn_spun_sewn', 'shrink_washed_shrinkage_shrinking_drying']"
25165,puma,4.86,6.666666666666667,"[19, 18, 4, 3, 2, 5, 3, 3, 3]","['lion', 'lynx', 'hawk', 'puss', 'mole']","['mammal_mammals_small_mammalian_usually', 'tail_short_long_tails_bushy', 'retractable_claws_sharp_zygote_fatale', 'predator_apex_stealthy_weaker_smaller', 'eyesight_keen_vision_night_excellent', 'hunting_hunts_treasure_animals_small', 'native_americas_america_asia_africa', 'solitary_alone_solitude_prefer_isolation', 'lions_lion_cougar_male_mountain']"
36526,wing,4.86,6.666666666666667,"[9, 12, 11, 2, 2, 4]","['flew', 'soar', 'cock', 'fowl', 'dove']","['body_part_human_object_fault', 'birds_bird_crows_crow_chickens', 'feathers_feathery_black_white_vary', 'lift_flight_thrust_airplanes_hollow', 'jumping_used_flying_jump_sports', 'gliding_glides_muscular_soaring_moves']"
35702,vine,4.86,7.4,"[7, 13, 12, 1, 4]","['bush', 'fern', 'tree', 'herb', 'reed']","['stem_stems_slender_tough_square', 'plant_animal_zygote_fathering_fatales', 'leaves_edible_trees_needle_buds', 'tendrils_suckers_battens_support_fashion', 'invasive_unwelcome_non_impolite_native']"
9771,duck,4.86,8.4,"[5, 15, 7, 21, 5, 14, 10, 11, 15, 11, 4, 2, 3, 1, 2]","['gull', 'swan', 'fish', 'fowl', 'bird']","['webbed_feet_lobed_forelimbs_partially', 'lays_eggs_laying_water_lay', 'lives_water_near_bodies_land', 'edible_species_humans_inedible_though', 'hunted_predators_humans_people_sport', 'bird_part_small_fatale_fatales', 'flies_fly_wind_speeds_air', 'feathers_feathery_black_white_vary', 'animal_dog_pet_creature_game', 'freshwater_lives_saltwater_lakes_ponds', 'swims_swim_well_fast_swam', 'migrates_migratory_species_distances_migrate', 'omnivorous_omnivore_diet_zygote_father', 'waddles_quacks_caws_wags_dogs', 'bill_white_number_invoice_serial']"
7845,deer,4.86,9.1,"[5, 19, 14, 18, 7, 4, 8, 5, 9, 2]","['buck', 'stag', 'calf', 'lamb', 'lynx']","['hunted_predators_humans_people_sport', 'mammal_mammals_small_mammalian_usually', 'fur_fluffy_hair_brown_looks', 'tail_short_long_tails_bushy', 'lives_forests_wooded_forest_areas', 'antlers_males_male_grows_typically', 'herbivorous_herbivore_herbivores_diet_insectivorous', 'grazes_grass_plants_graze_grazer', 'hooves_cloven_grows_typically_zygote', 'migrates_seasonally_migration_seasonal_migrate']"
974,ammo,4.85,2.6666666666666665,"[2, 3, 3, 3, 1, 3, 3, 2, 4]","['trap', 'stun', 'stab', 'ripe', 'club']","['stored_stores_barns_warehouses_fields', 'shelf_life_long_shorter_unopened', 'firearms_ammunition_bullets_gun_shot', 'brass_made_steel_stainless_bronze', 'projectile_contains_projectiles_parabolic_reloaded', 'weapon_weapons_used_sword_punch', 'hunting_used_lookout_animals_historically', 'enforcement_law_used_espionage_military', 'lethal_fatal_inhumane_non_considered']"
11394,eyes,4.85,2.8,"[5, 3, 4, 4, 4, 2, 2, 1, 1, 2]","['head', 'face', 'brow', 'tell', 'dual']","['tears_shedding_crying_involves_accompanied', 'colors_come_different_various_coat', 'pairs_pair_comes_two_pairings', 'located_face_head_mouth_sides', 'emotions_express_feelings_convey_emotion', 'eyelashes_eyebrows_irises_lid_fake', 'organs_vision_organ_houses_sense', 'cornea_corneas_visible_pupils_fatty', 'light_detect_cones_detection_rods', 'pupil_optic_nerve_contains_eye']"
3884,bull,4.85,3.75,"[4, 5, 4, 5, 3, 3, 1, 5]","['oxen', 'stag', 'buff', 'kilo', 'swan']","['strength_symbol_symbolizes_virility_bravery', 'cattle_bovine_cow_bull_male', 'horns_horn_car_produced_keyboards', 'muscular_muscle_mass_build_muscles', 'neck_thick_chin_curved_narrow', 'larger_cows_pony_horse_smaller', 'rodeos_rodeo_used_present_events', 'weight_weighs_pounds_grams_ounces']"
20383,mold,4.85,3.7777777777777777,"[2, 3, 4, 3, 5, 1, 4, 4, 8]","['fern', 'moss', 'smut', 'slug', 'mite']","['fungus_fungi_mycorrhiza_symbiotic_relationships', 'texture_flaky_spongy_slimy_fizzy', 'spores_reproduces_via_produces_dark', 'grows_rosette_stalks_bulbs_walls', 'thrives_environments_damp_grows_moist', 'penicillin_production_used_biotechnology_transpiration', 'organic_matter_eats_decaying_feeds', 'decay_spoilage_decomposition_associated_result', 'allergic_reactions_allergies_cause_caused']"
14480,harp,4.85,3.909090909090909,"[3, 5, 4, 5, 5, 3, 4, 4, 3, 5, 2]","['lyre', 'oboe', 'gong', 'tuba', 'yoyo']","['shape_triangular_symmetrical_often_shaped', 'instrument_musical_stringed_instruments_guitars', 'orchestras_used_music_orchestral_ensembles', 'classical_music_contemporary_used_genres', 'melody_melodic_melodies_sounds_produces', 'strings_string_tuning_pegs_gut', 'fingers_plucked_plucking_palm_played', 'sound_soundboard_speakers_keynote_system', 'pedals_treadles_pedal_wah_foot', 'ancient_persia_originated_since_greece', 'resonant_resonating_tone_resonance_body']"
13456,girl,4.85,4.333333333333333,"[5, 3, 5, 4, 5, 4]","['lady', 'teen', 'papa', 'acne', 'kids']","['skirts_skirt_dresses_wear_trousers', 'puberty_secondary_sexual_characteristics_develops', 'human_humanoid_settlement_powered_animal', 'wordplay_dolls_play_may_involve', 'school_attend_attends_schools_high', 'parent_sister_family_female_relative']"
2413,bath,4.85,4.5,"[6, 3, 7, 8, 7, 4, 4, 1, 3, 2]","['sink', 'vase', 'bowl', 'dish', 'soap']","['washing_used_dishes_handwashing_hands', 'bathrooms_bathroom_found_shared_typically', 'hygiene_used_cleaning_smelling_personal', 'container_containers_secure_shipping_comes', 'ceramic_porcelain_made_ceramics_stainless', 'water_holds_hold_watertight_dispense', 'drainage_drain_drains_gutters_drained', 'relaxation_relaxing_promotes_bathing_muscles', 'faucet_source_groundwater_water_drinking', 'freestanding_built_in_mounted_wall']"
29478,snow,4.85,4.545454545454546,"[13, 4, 7, 3, 3, 5, 4, 5, 2, 2, 2]","['hail', 'rain', 'thaw', 'brie', 'arid']","['white_color_off_black_bluish', 'precipitation_rain_rainfall_form_snow', 'melts_heated_molten_rock_melting', 'compact_compacted_snowballs_compaction_snowball', 'cold_snow_used_winter_weather', 'cold_coldness_colder_freezing_moderate', 'winter_cold_climates_snow_associated', 'flooding_prevents_cause_avalanches_sea', 'ice_crystals_consists_snowflake_pellets', 'clouds_falls_sky_cumulus_cumulonimbus', 'accumulate_accumulation_ground_landfills_accumulates']"
31766,tarp,4.85,4.875,"[7, 4, 3, 7, 6, 4, 5, 3]","['tent', 'yard', 'hood', 'bare', 'limo']","['covering_protective_covered_cover_covers', 'tear_ripping_tearing_punctures_tears', 'folded_foldable_storage_flat_fold', 'weather_protects_rain_protection_wind', 'plastic_made_materials_canvas_paper', 'ground_grounding_sheet_inground_staked', 'camping_used_gatherings_occasions_outdoor', 'resistant_water_uv_weather_available']"
14766,hemp,4.85,5,"[5, 13, 9, 7, 4, 5, 1, 2, 2, 2, 5]","['crop', 'sage', 'dill', 'fern', 'aloe']","['paper_used_make_production_products', 'plant_animal_zygote_fathering_fatales', 'biodegradable_options_available_depending_lifecycle', 'green_leaves_fronds_feathery_tops', 'fibers_made_produces_textile_fiber', 'textile_textiles_used_make_industry', 'cannabis_cbd_weed_sativa_cannabidiol', 'therapeutic_psychoactive_effects_effect_achieve', 'cultivated_grown_worldwide_fields_seeds', 'seeds_edible_contain_spice_fruits', 'grows_continuously_rapidly_bush_childhood']"
12378,foam,4.85,5.142857142857143,"[13, 6, 3, 3, 5, 4, 2]","['silk', 'drug', 'tape', 'tutu', 'soak']","['soft_inside_bodied_feels_hard', 'lightweight_easy_handling_transport_designed', 'insulation_lined_used_electrical_quilted', 'packaging_used_bags_rese_packing', 'bubbles_produces_liquid_creates_rising', 'cushions_pillows_blankets_cushioned_plush', 'substance_chemical_unhurriedly_tendency_unclean']"
8793,disc,4.85,5.4,"[8, 2, 5, 10, 2]","['disk', 'sack', 'file', 'foil', 'shed']","['holes_hole_center_18_gap', 'reflective_surface_mirrors_diffraction_side', 'data_stores_store_stored_storage', 'storage_used_store_storing_equipment', 'recording_medium_information_cds_lasers']"
23939,plum,4.85,5.833333333333333,"[7, 3, 8, 21, 6, 6, 6, 4, 3, 4, 1, 1]","['pear', 'kiwi', 'date', 'lime', 'sage']","['dried_fresh_prunes_eaten_used', 'desserts_pies_used_tarts_salads', 'grows_trees_forests_palm_branches', 'edible_species_humans_inedible_though', 'fruit_fruits_maturity_vegetables_color', 'shape_round_oval_rounded_shaped', 'skin_brown_soft_smooth_fuzzy', 'baking_cooking_used_pancakes_lining', 'meat_tender_juicy_flesh_fleshy', 'sweet_taste_tart_sweetened_sweetness', 'yellow_brown_white_green_red', 'jam_jams_made_chutneys_jammed']"
36674,wood,4.85,6.3,"[5, 17, 5, 11, 2, 8, 6, 6, 2, 1]","['clay', 'glue', 'sand', 'lace', 'felt']","['paper_used_make_production_products', 'construction_used_sites_building_demolition', 'carved_sculpture_carving_sculpted_shapes', 'crafts_used_crafting_making_pottery', 'comes_trees_tree_clouds_shrub', 'grains_grain_corn_grained_product', 'fabric_material_piece_strips_band', 'sand_dunes_sandy_sanded_burrow', 'organic_organically_grown_inorganic_conventional', 'hardness_varies_differs_lacks_zygote']"
18101,lace,4.85,6.454545454545454,"[9, 4, 8, 11, 3, 4, 11, 3, 5, 7, 6]","['lacy', 'felt', 'bead', 'mesh', 'zips']","['fashion_used_lingerie_clothing_uniform', 'decoration_used_decorative_decor_tablecloths', 'holes_hole_center_18_gap', 'clothing_used_making_garment_garments', 'dyed_colors_various_different_dyes', 'handmade_made_machine_manufactured_telephone', 'crafts_used_crafting_making_pottery', 'delicate_texture_subtle_thin_appearance', 'white_black_often_ivory_dots', 'weddings_used_wedding_arrangements_floral', 'fabric_material_piece_strips_band']"
3286,bomb,4.84,5.5,"[3, 17, 3, 5, 6, 3, 4, 3]","['nuke', 'rope', 'tank', 'mace', 'slam']","['destruction_collapse_cause_destroys_massive', 'construction_used_sites_building_demolition', 'shock_absorbs_absorption_walking_shocks', 'noise_sound_loud_produces_cracking', 'military_used_operations_rescue_forces', 'weapon_nuclear_destruction_weapons_ancient', 'explosions_explosion_explosive_detonation_detonator', 'warfare_used_combat_fighting_firefighting']"
